中文名稱,ENGLISH NAME,中文地址,ENGLISH ADDRESS,EASTING,NORTHING,DISTRICT,地區
鴨?洲母嬰健康院,Ap Lei Chau Maternal and Child Health Centre,香港鴨?洲鴨?洲大街161號2樓,"2/F , 161 Ap Lei Chau Main Street, Ap Lei Chau, Hong Kong",833871.3,811604,SOUTHERN,南區
圓洲角社區會堂,Yuen Chau Kok Community Hall,新界沙田銀城街35號,"35 Ngan Shing Street, Sha Tin, New Territories",839130.7,826703.2,SHA TIN,沙田
大埔運動場,Tai Po Sports Ground,新界大埔頭路21號,"No.21 Tai Po Tau Road, Tai Po , New Territories",834757.6,835092.9,TAI PO,大埔
高山劇場,Ko Shan Theatre,九龍紅磡高山道77號,"77 Ko Shan Road, Hung Hom, Kowloon",837139,819401.8,KOWLOON CITY,九龍城
赤柱公共圖書館,Stanley Public Library,香港赤柱赤柱市場道6號赤柱市政大廈地面上層,"Upper Ground Floor, Stanley Municipal Services Building, 6 Stanley Market Road, Stanley, Hong Kong",839911,808944,SOUTHERN,南區
朗屏體育館,Long Ping Sports Centre,新界元朗朗屏?朗屏商場2樓202號,"Unit 202, 2/F, Long Ping Commercial Centre, Long Ping Estate, Yuen Long, New Territories",820449,834547,YUEN LONG,元朗
前法國外方傳道會大樓,Former French Mission Building,香港中環炮台里1號地下及1樓,"G/F and 1/F, No.1, Battery Path, Central, Hong Kong",834411.8,815577.5,CENTRAL AND WESTERN,中西區
駿業熟食市場,Tsun Yip Cooked Food Market,九龍觀塘駿業街67號地下至1樓,"G-1/F, 67 Tsun Yip Street, Kwun Tong, Kowloon",841008,819210,KWUN TONG,觀塘
啟德郵輪碼頭,Kai Tak Cruise Terminal,九龍承豐道33號,"33 Shing Fung Road, Kowloon",839955.7,818638,KOWLOON CITY,九龍城
興華社區會堂,Hing Wah Community Hall,香港柴灣興華(二)?,"Hing Wah (II) Estate, Chai Wan, Hong Kong",842211.1,813911.2,EASTERN,東區
藍田(西區)社區中心,Lam Tin (West) Estate Community Centre,藍田啟田道71號,"71 Kai Tin Road, Lam Tin, Kwun Tong, Kowloon",842134.5,818882.2,KWUN TONG,觀塘
園圃街雀鳥花園,Yuen Po Street Bird Garden,九龍旺角園圃街,"Yuen Po Street, Mong Kok, Kowloon",835957,820782,YAU TSIM MONG,油尖旺
電氣道街市熟食中心,Electric Road Market Cooked Food Centre,香港砲台山電氣道229號電氣道市政大廈2樓,"2/F, Electric Road Municipal Services Building, 229 Electric Road, Fortress Hill, Hong Kong",838005,816739,EASTERN,東區
旺角警署,Mong Kok Police Station,九龍太子道西 142 號,"142 Prince Edward Road West, Mong Kok, Kowloon",835457.2,820585.1,YAU TSIM MONG,油尖旺
香港仔運動場,Aberdeen Sports Ground,香港香港仔黃竹坑道108號,"108 Wong Chuk Hang Road, Aberdeen, Hong Kong",835758.4,812288.9,SOUTHERN,南區
大埔文娛中心,Tai Po Civic Centre,新界大埔安邦路12號,"12 On Pong Road, Tai Po, New Territories, Hong Kong",835335.3,834724.1,TAI PO,大埔
愉景灣社區會堂,Discovery Bay Community Hall,愉景灣海澄湖畔路99號,"99 Siena Ave, Discovery Bay",819666,818841,ISLANDS,離島
青衣母嬰健康院,Tsing Yi Maternal and Child Health Centre,新界?衣長康?長康商場一期3樓,"3/F, Cheung Hong Commerical Center , Phase I , Tsing Yi Estate, Tsing Yi , New Territories",828962.6,823314.3,KWAI TSING,葵青
上環街市熟食中心,Sheung Wan Market Cooked Food Centre,香港上環皇后大道中345號上環市政大廈2樓,"2/F, Sheung Wan Municipal Services Building, 345 Queen's Road Central, Sheung Wan, Hong Kong",833460,816346,CENTRAL AND WESTERN,中西區
西營盤母嬰健康院,Sai Ying Pun Maternal and Child Health Centre,香港西營盤皇后大道西134號西營盤賽馬會分科診療所4字樓,"4/F, Sai Ying Pun Jockey Club Polyclinic, 134 Queen's Road West, Sai Ying Pun, Hong Kong",832995.6,816385.2,CENTRAL AND WESTERN,中西區
愛秩序灣街市熟食中心,Aldrich Bay Market Cooked Food Centre,香港筲箕灣愛秩序灣道15號地下,"G/F, 15 Aldrich Bay Road, Shau Kei Wan, Hong Kong",841458,815691,EASTERN,東區
新蒲崗公共圖書館,San Po Kong Public Library,"九龍新蒲崗崇齡街33號,新蒲崗廣場3樓","3/F, San Po Kong Plaza, 33 Shung Ling Street, San Po Kong, Kowloon",838225,821777,WONG TAI SIN,黃大仙
藍田公共圖書館,Lam Tin Public Library,九龍藍田慶田街一號藍田綜合大樓 5 至 6 樓,"5-6/F, Lam Tin Complex, 1 Hing Tin Street, Lam Tin, Kowloon",842504,819016,KWUN TONG,觀塘
油麻地戲院,Yau Ma Tei Theatre,九龍窩打老道 6 號,"6 Waterloo Road, Kowloon",835472.3,819282.4,YAU TSIM MONG,油尖旺
水務署 - 灣仔客戶諮詢中心,Water Supplies Department - Wan Chai Customer Enquiry Centre,香港灣仔告士打道7 號入境事務大樓1樓,"1/F, Immigration Tower, 7 Gloucester Road, Wan Chai, Hong Kong",835854.4,815663.4,WAN CHAI,灣仔
林邊生物多樣性自然教育中心,Woodside Biodiversity Education Centre,香港?魚涌柏架山道50號,"50 Mount Parker Road, Quarry Bay, Hong Kong",839822.7,815820.1,EASTERN,東區
北角就業中心,North Point Job Centre,香港北角渣華道333號北角政府合署12樓,"12/F, North Point Government Offices, 333 Java Road, North Point, Hong Kong",839511,817029,EASTERN,東區
富善體育館,Fu Shin Sports Centre,新界大埔富善?多層停車場6樓,"6/F, Multi-storey Car-park Building, Fu Shin Estate, Tai Po, New Territories",835984,834936,TAI PO,大埔
紅磡街市熟食中心,Hung Hom Market Cooked Food Centre,九龍紅磡馬頭圍道11號紅磡市政大廈2樓,"2/F, Hung Hom Municipal Services Building, 11 Ma Tau Wai Road, Hung Hom, Kowloon",837348,818701,KOWLOON CITY,九龍城
上水就業中心,Sheung Shui Job Centre,新界上水龍琛路39號上水廣場20樓2001-2006室,"Units 2001-2006, Level 20, Landmark North, 39 Lung Sum Avenue, Sheung Shui, New Territories",831222,840325,NORTH,北區
蝴蝶?公共圖書館,Butterfly Estate Public Library,新界屯門蝴蝶?蝶聚樓地下123-130號,"Unit No. 123-130, G/F, Tip Chui House, Butterfly Estate, Tuen Mun, New Territories",814247,826400,TUEN MUN,屯門
北區民政事務處 - 諮詢服務中心,North District Office - Public Enquiry Service Centre,新界粉?璧峰?3號北區政府合署地下,"G/F, North District Government Offices, 3 Pik Fung Road, Fanling, New Territories",832289,839457,NORTH,北區
彩虹道體育館,Choi Hung Road Sports Centre,九龍鑽石山彩虹道150號,"150 Choi Hung Road, San Po Kon, Wong Tai Sin, Kowloon",838285,822007,WONG TAI SIN,黃大仙
荔枝角公園,Lai Chi Kok Park,九龍荔枝角荔灣道1號,"1 Lai Wan Road, Lai Chi Kok, Kowloon",832325.1,821725.5,SHAM SHUI PO,深水?
富亨鄰里社區中心,Fu Heng Neighbourhood Community Centre,新界大埔富亨?第4期地下,"G/F, Fu Heng Estate, Phase IV, Tai Po, New Territories",835758,835598,TAI PO,大埔
中國客運碼頭,China Ferry Terminal,九龍尖沙咀廣東道33號中國客運碼頭2樓離境層旅客候船室,"Passenger departure waiting hall, UG Desk, China Ferry Terminal, 33 Canton Road, Tsim Sha Tsui, Kowloon",835159.9,817792.7,YAU TSIM MONG,油尖旺
屯門大會堂,Tuen Mun Town Hall,新界屯門屯喜路3號,"3 Tuen Hi Road, Tuen Mun, New Territories",815700,828076,TUEN MUN,屯門
柏立基夫人母嬰健康院,Anne Black Maternal and Child Health Centre,香港北角七姊妹道140號柏立基夫人健康院1樓,"1/F, Anne Black Health Centre, 140 Tsat Tsz Mui Road, North Point, Hong Kong",839166,816940.3,EASTERN,東區
觀塘法院大樓,Kwun Tong Law Courts Building,九龍觀塘鯉魚門道10號,"10 Lei Yue Mun Road, Kwun Tong, Kowloon",841675.1,818976.6,KWUN TONG,觀塘
旺角熟食市場,Mong Kok Cooked Food Market,九龍旺角上海街557號旺角綜合大樓2樓,"Level 2, Mong Kok Complex, 557 Shanghai Street, Mong Kok, Kowloon",835352.3,819956.1,YAU TSIM MONG,油尖旺
將軍澳運動場,Tseung Kwan O Sports Ground,新界將軍澳寶康路109號,"109 Po Hong Road, Tseung Kwan O, New Territories",845160.1,819194.5,SAI KUNG,西貢
元朗政府合署,Yuen Long Government Offices,新界元朗橋樂坊2號地下,"G/F, 2 Kiu Lok Square, Yuen Long, New Territories",820863,833991,YUEN LONG,元朗
石塘咀公共圖書館,Shek Tong Tsui Public Library,香港皇后大道西470號石塘咀市政大廈3至4樓,"3-4/F, Shek Tong Tsui Municipal Services Building, 470 Queen's Road West, Hong Kong",832061,816315,CENTRAL AND WESTERN,中西區
離島民政事務處 - 長洲諮詢服務中心,Islands District Office - Cheung Chau Public Enquiry Service Centre,新界長洲新興街22號地下,"G/F, 22 San Hing Street, Cheung Chau, New Territories",820997,807981,ISLANDS,離島
南區民政事務處 - 諮詢服務中心,Southern District Office - Public Enquiry Service Centre,香港香港仔海傍道3號逸港居地下,"G/F, Ocean Court, 3 Aberdeen Praya Road, Aberdeen, Hong Kong",834445,812064,SOUTHERN,南區
打鼓嶺社區會堂,Ta Kwu Ling Community Hall,新界打鼓嶺坪輋路136號打鼓嶺鄉村中心政府大樓地下,"G/F, Ta Kwu Ling Rural Centre Government Building, No. 136, Ping Che Road, Ta Kwu Ling, New Territories",834598,842756,NORTH,北區
香港大球場,Hong Kong Stadium,香港掃桿埔東院道55號,"55 Eastern Hospital Road, So Kon Po, Hong Kong",837474,814807.2,WAN CHAI,灣仔
長青社區中心,Cheung Ching Estate Community Centre,新界青衣青康路 6 號,"6 Ching Hong Road, Tsing Yi, New Territories",829060.1,823302.7,KWAI TSING,葵青
屯門公園,Tuen Mun Park,新界屯門鄉事會路,"Tuen Mun Heung Sze Wui Road, Tuen Mun, New Territories",815384.1,828037.7,TUEN MUN,屯門
摩士公園體育館,Morse Park Sports Centre,九龍黃大仙鳳舞街40號地下,"G/F, 40, Fung Mo Street, Wong Tai Sin, Kowloon",837633,822138,WONG TAI SIN,黃大仙
何文田體育館,Ho Man Tin Sports Centre,九龍何文田忠義街1號地下、大堂及一樓,"LG, UG & 1/F, No. 1 Chung Yee Street, Ho Man Tin, Kowloon",836718,819221,KOWLOON CITY,九龍城
九龍出生登記處,Kowloon Births Registry,九龍尖沙咀金巴利街28號地下低層,"Lower Ground, 28 Kimberley Street, Tsim Sha Tsui, Kowloon",835953.7,817953,YAU TSIM MONG,油尖旺
荃景圍體育館,Tsuen King Circuit Sports Centre,新界荃灣美環街38號,"38 Mei Wan Street, Tsuen Wan, New Territories",829510.1,826495.6,TSUEN WAN,荃灣
沙田民政事務處 - 諮詢服務中心,Sha Tin District Office - Public Enquiry Service Centre,新界沙田上禾輋?1號沙田政府合署地下,"G/F, Sha Tin Government Offices, 1 Sheung Wo Che Road, Sha Tin, New Territories",837301,827369,SHA TIN,沙田
九龍公園體育館,Kowloon Park Sports Centre,九龍尖沙咀柯士甸道22號地下,"G/F, 22 Austin Road, Tsim Sha Tsui, Kowloon",835534,818094,YAU TSIM MONG,油尖旺
沙田公共圖書館,Sha Tin Public Library,新界沙田源禾路1號,"1 Yuen Wo Road, Sha Tin, New Territories",837542,826828,SHA TIN,沙田
西港島就業中心,Hong Kong West Job Centre,香港西營盤薄扶林道2號A西區裁判署4字樓,"4/F, Western Magistracy Building, 2A Pok Fu Lam Road, Sai Ying Pun, Hong Kong",832527,816444,CENTRAL AND WESTERN,中西區
三棟屋博物館,Sam Tung Uk Museum,新界荃灣古屋里2號,"2 Kwu Uk Lane, Tsuen Wan, New Territories",830447.1,825863.1,TSUEN WAN,荃灣
?魚涌街市熟食中心,Quarry Bay Market Cooked Food Centre,香港?魚涌街38號?魚涌市政大廈閣樓,"M/F, Quarry Bay Municipal Services Building, 38 Quarry Bay Street, Quarry Bay, Hong Kong",839866,816090,EASTERN,東區
健彩社區會堂,Kin Choi Community Hall,新 界 將 軍 澳 健 明 ? 彩 明 商 場 擴 展 部 份 六 樓,"6/F, Choi Ming Shopping Centre Extension, Kin Ming Estate, Tseung Kwan O, New Territories",843928,818562,SAI KUNG,西貢
入境事務處 - 沙田辦事處,Immigration - Sha Tin Office,新界沙田上禾輋路1號沙田政府合署3樓,"3/F, Sha Tin Government Offices, 1 Sheung Wo Che Road, Sha Tin, New Territories",837301,827369,SHA TIN,沙田
稅務局-印花稅署,Inland Revenue Department - Stamp Office,香港灣仔告士打道5號稅務大樓3樓,"3/F, Revenue Tower, 5 Gloucester Road, Wanchai, Hong Kong",835749,815637,WAN CHAI,灣仔
中山紀念公園,Sun Yat Sen Memorial Park,新界西營盤東邊街北,"Eastern Street North, Sai Ying Pun, Hong Kong",833034.8,816779.5,CENTRAL AND WESTERN,中西區
九龍城母嬰健康院,Kowloon City Maternal and Child Health Centre,九龍紅磡庇利街42號九龍城政府合署九龍城健康中心4樓,"4/F Kowloon City Health Centre, Kowloon City Government Offices, 42 Bailey Street, Hung Hom, Kowloon",837593.1,819213.3,KOWLOON CITY,九龍城
元朗體育館,Yuen Long Sports Centre,新界元朗馬田路52號元朗文化康樂大樓3樓,"3/F, Yuen Long Leisure and Cultural Building, 52 Ma Tin Road, Yuen Long, New Territories",820522.1,833556,YUEN LONG,元朗
南朗山道熟食市場,Nam Long Shan Road Cooked Food Market,香港黃竹坑南朗山道1號地下及1樓,"G/F & 1/F, 1 Nam Long Shan Road, Wong Chuk Hang, Hong Kong",835179,812076,SOUTHERN,南區
土瓜灣街市熟食中心,To Kwa Wan Market Cooked Food Centre,九龍土瓜灣馬頭圍道165號地下,"G/F, 165 Ma Tau Wai Road, To Kwa Wan, Kowloon",837413,819794,KOWLOON CITY,九龍城
灣仔運動場,Wan Chai Sports Ground,香港灣仔杜老誌道20號,"20 Tonnochy Road, Wan Chai, Hong Kong",836383.8,815826.4,WAN CHAI,灣仔
鳳德社區中心,Fung Tak Estate Community Centre,九龍黃大仙鑽石山鳳德道111號鳳德?地下,"G/F, Fung Tak Estate, 111 Fung Tak Road, Diamond Hill, Wong Tai Sin, Kowloon",838822,822649,WONG TAI SIN,黃大仙
下葵涌學童牙科診所,Ha Kwai Chung School Dental Clinic,新界葵涌麗祖路77號下葵涌分科診所及特殊教育服務中心1樓,"1/F, Ha Kwai Chung Polyclinic and Special Education Services Centre, 77 Lai Cho Road, Kwai Chung, New Territories",831231.5,823703.6,KWAI TSING,葵青
九龍城街市熟食中心,Kowloon City Market Cooked Food Centre,九龍九龍城衙前圍道100號九龍城市政大廈2樓,"2/F, Kowloon City Municipal Services Building, 100 Nga Tsin Wai Road, Kowloon City, Kowloon",837506,821178,KOWLOON CITY,九龍城
建造業招聘中心,Construction Industry Recruitment Centre,九龍灣大業街44號建造業議會九龍灣訓練中心1樓,"1/F, CIC Kowloon Bay Training Centre, 44 Tai Yip Street, Kowloon Bay, Kowloon",840057.9,820026.7,KWUN TONG,觀塘
天暉路體育館,Tin Fai Road Sports Centre,新界天水圍天瑞路63號,"63 Tin Shui Road, Tin Shui Wai, New Territories",817747.1,836160.4,YUEN LONG,元朗
耀東公共圖書館,Yiu Tung Public Library,香港筲箕灣耀東?耀昌樓地下,"G/F, Yiu Cheong House, Yiu Tung Estate, Shau Kei Wan, Hong Kong",841289,815333,EASTERN,東區
荃灣裁判法院,Tsuen Wan Law Courts Building,新界荃灣大河道70號,"70 Tai Ho Road, Tsuen Wan, New Territories",829682.1,825785.8,TSUEN WAN,荃灣
大埔胸肺科診所,Tai Po Chest Clinic,新界大埔汀角路37號大埔賽馬會診所1樓,"1/F, Tai Po Jockey Club Clinic, 37 Ting Kok Road, Tai Po, New Territories",835094.2,834954.2,TAI PO,大埔
尖沙咀警署,Tsim Sha Tsui Police Station,九龍彌敦道213號,"213 Nathan Road, Kowloon",835708.4,818194.3,YAU TSIM MONG,油尖旺
赤柱海濱小賣亭及赤柱海濱長廊,Stanley Waterfront Mart cum Stanley Promenade,香港赤柱市場道20號及香港赤柱大街,"20 Stanley Market Road and Stanley Main Street, Hong Kong",839839.3,808859.5,SOUTHERN,南區
香港仔網球及壁球中心,Aberdeen Tennis and Squash Centre,香港香港仔海旁道1號地下及1樓,"G/F & 1/F, No.1 Aberdeen Praya Road, Hong Kong",834511,812089,SOUTHERN,南區
曹公潭戶外康樂中心,Tso Kung Tam Outdoor Recreation Centre,新界荃灣荃錦公路105號,"105 Route Twisk, Tsuen Wan, New Territories",828971,827423,TSUEN WAN,荃灣
梁顯利油麻地社區中心,Henry G. Leong Yaumatei Community Centre,九龍油麻地眾坊街60號地下及3樓,"G/F & 3/F, 60 Public Square Street, Yau Ma Tei, Kowloon",835529,818989,YAU TSIM MONG,油尖旺
藍田學童牙科診所,Lam Tin School Dental Clinic,九龍藍田啟田道99號藍田分科診所2樓,"2/F, Lam Tin Polyclinic, 99 Kai Tin Road, Lam Tin, Kowloon",842086,819067.9,KWUN TONG,觀塘
?生教育展覽及資料中心,Health Education Exhibition and Resource Centre,九龍尖沙咀九龍公園S4座地下至1樓,"G-1/F, Block S4, Kowloon Park, Tsim Sha Tsui, Kowloon",835700,817716,YAU TSIM MONG,油尖旺
香港仔體育館,Aberdeen Sports Centre,香港香港仔大道203號香港仔市政大廈5樓,"5/F, Aberdeen Municipal Services Building, 203 Aberdeen Main Road, Hong Kong",833947,812311,SOUTHERN,南區
綠匯學苑,Green Hub,香港新界大埔運頭角里11號,"11 Wan Tau Kok Lane, Tai Po, New Territories",835548.3,834140.7,TAI PO,大埔
美林體育館,Mei Lam Sports Centre,新界沙田大圍美林?第3期地下、1至2樓,"G/F, 1-2/F, Phase III, Mei Lam Estate, Tai Wai, Sha Tin, New Territories",836126,826653,SHA TIN,沙田
修頓中心,Southorn Centre,香港灣仔軒尼詩道130號1樓,"1/F, 130 Hennessy Road, Wan Chai, Hong Kong",835834,815391,WAN CHAI,灣仔
麥理浩夫人度假村,Lady MacLehose Holiday Village,西貢北潭,"Pak Tam, Sai Kung",851188.3,829863.4,SAI KUNG,西貢
工業貿易署大樓,Trade and Industry Department Tower,九龍旺角彌敦道700號地下及閣樓,"G/F & M/F, 700 Nathan Road, Mong Kok, Kowloon",835504,820171,YAU TSIM MONG,油尖旺
梨木樹社區會堂,Lei Muk Shue Community Hall,新界荃灣梨木樹康樹樓地下,"G/F, Hong Shue House, Lei Muk Shue Estate, Tseun Wan, New Territories",832144.3,826652.8,TSUEN WAN,荃灣
太和體育館,Tai Wo Sports Centre,新界大埔太和?太和商場平台,"Podium Level, Tai Wo Shopping Centre, Tai Wo Estate, Tai Po, New Territories",834591,834617,TAI PO,大埔
元州街公共圖書館,Un Chau Street Public Library,九龍元州街59-63號元州街市政大廈1樓,"1/F, Un Chau Street Municipal Services Building, 59-63 Un Chau Street, Kowloon",834872,821440,SHAM SHUI PO,深水?
灣仔民政事務處 - 諮詢服務中心,Wan Chai District Office - Public Enquiry Service Centre,香港灣仔柯布連道2號地下,"G/F, 2 O' Brien Road, Wan Chai, Hong Kong",835887,815374,WAN CHAI,灣仔
屯門鄧肇堅運動場,Tuen Mun Tang Shiu Kin Sports Ground,新界屯門青松觀路,"Tsing Chung Koon Road, Tuen Mun, New Territories",815382.4,829436.8,TUEN MUN,屯門
入境事務處 - 西九龍辦事處,Immigration - West Kowloon Office,九龍尖沙咀金巴利街28號地下,"Ground Floor, 28 Kimberley Street, Tsim Sha Tsui, Kowloon",835954,817953,YAU TSIM MONG,油尖旺
大會堂公共圖書館,City Hall Public Library,香港中環大會堂高座2至6樓及8至11樓,"2-6/F & 8-11/F, City Hall High Block, Edinburgh Place, Central, Hong Kong",834613,815919,CENTRAL AND WESTERN,中西區
觀塘社區中心,Kwun Tong Community Centre,九龍觀塘翠屏道17號,"No. 17 Tsui Ping Road, Kwun Tong, Kowloon",841682.8,819333.3,KWUN TONG,觀塘
圓洲角體育館,Yuen Chau Kok Sports Centre,新界沙田銀城街35號,"35 Ngan Shing Street, Sha Tin, New Territories",839116.4,826722.7,SHA TIN,沙田
皇后街熟食市場,Queen Street Cooked Food Market,香港上環德輔道西38號1樓,"1/F, 38 Des Voeux Road West, Sheung Wan, Hong Kong",833229.7,816489.9,CENTRAL AND WESTERN,中西區
九龍城體育館,Kowloon City Sports Centre,九龍九龍城衙前圍道100號九龍城市政大廈3樓,"3/F, Kowloon City Municipal Services Building, 100 Nga Tsin Wai Road, Kowloon City, Kowloon",837506,821178,KOWLOON CITY,九龍城
西貢戶外康樂中心,Sai Kung Outdoor Recreation Centre,新界西貢對面海區康健路21號,"21, Hong Kin Road,Tui Min Hoi Area, Sai Kung, New Territories",845775.5,826357.8,SAI KUNG,西貢
鄧肇堅學童牙科診所,Tang Shiu Kin School Dental Clinic,香港灣仔皇后大道東286號麥理浩牙科中心1字樓及5字樓,"1/F & 5/F, MacLehose Dental Centre, 286 Queen's Road East, Wanchai, Hong Kong",836434.2,815154.4,WAN CHAI,灣仔
大坑東社區中心,Tai Hang Tung Community Centre,九龍深水?大坑東棠蔭街17號地下,"G/F, 17 Tong Yam Street, Tai Hang Tung, Sham Shui Po, Kowloon",835587,821273,SHAM SHUI PO,深水?
斧山道運動場,Hammer Hill Road Sports Ground,九龍鑽石山斧山道158號,"158 Hammer Hill Road, Diamond Hill, Kowloon",839417.2,822149.4,WONG TAI SIN,黃大仙
城門郊野公園遊客中心,Shing Mun Country Park Visitor Centre,新界荃灣城門道,"Shing Mun Road, Tsuen Wan, New Territories",832855.9,827311.6,TSUEN WAN,荃灣
粉嶺公務員診所,Fanling Families Clinic,新界粉嶺璧峰路2號粉嶺健康中心8樓,"8/F, Fanling Health Centre, 2 Pik Fung Road, Fanling, New Territories",832339.4,839657.4,NORTH,北區
香港濕地公園訪客中心,The Visitor Centre of Hong Kong Wetland Park,新界天水圍濕地公園路,"Wetland Park Road, Tin Shui Wai, New Territories",818579,836580,YUEN LONG,元朗
香港文物探知館,Hong Kong Heritage Discovery Centre,九龍尖沙咀海防道九龍公園,"Kowloon Park, Haiphong Road, Tsim Sha Tsui, Kowloon",835536.2,817825.2,YAU TSIM MONG,油尖旺
終審法院,Court of Final Appeal,香港中環昃臣道8號,"8 Jackson Road, Central, Hong Kong",834567.5,815787.7,CENTRAL AND WESTERN,中西區
京士柏曲棍球場,King's Park Hockey Ground,九龍衛理道六號,"6 Wylie Road, Kowloon",836321.5,818670.9,YAU TSIM MONG,油尖旺
紅磡海濱長廊,Hung Hom Promenade,九龍紅磡建灣街,"Kin Wan Street, Hunghom, Kowloon",837403.4,817935.1,KOWLOON CITY,九龍城
天瑞體育館,Tin Shui Sports Centre,新界元朗天水圍天瑞路7號地下及1樓,"G/F & 1/F, 7 Tin Shui Road, Tin Shui Wai, Yuen Long, New Territories",817854,835045,YUEN LONG,元朗
西九龍母嬰健康院,West Kowloon Maternal and Child Health Centre,九龍深水?長沙灣道303號長沙灣政府合署西九龍健康中心2樓,"2/F, West Kowloon Health Center, Cheung Sha Wan Government Offices, 303 Cheung Sha Wan Road, Sham Shui Po, Kowloon",834560.2,821418.3,SHAM SHUI PO,深水?
海港政府大樓,Harbour Building,香港中區統一碼頭道38號地下及1樓,"G/F,1/F, 38 Pier Road, Central, Hong Kong",834015,816413,CENTRAL AND WESTERN,中西區
香港公園,Hong Kong Park,香港中環紅棉路19號,"19 Cotton Tree Drive, Central, Hong Kong",834672,815383,CENTRAL AND WESTERN,中西區
橫頭磡母嬰健康院,Wang Tau Hom Maternal and Child Health Centre,九龍橫頭磡聯合道東200號橫頭磡賽馬會診療所地下,"G/F Wang Tau Hom Jockey Club Clinic, 200 Junction Road East, Wang Tau Hom, Kowloon",837144.3,822220.6,WONG TAI SIN,黃大仙
屯門康樂體育中心,Tuen Mun Recreation and Sports Centre,新界屯門龍門路54號,"54 Lung Mun Road, Tuen Mun, New Territories",814225.9,826969.6,TUEN MUN,屯門
牛池灣街市熟食中心,Ngau Chi Wan Market Cooked Food Centre,九龍牛池灣清水灣道11號牛池灣街市2樓,"2/F, Ngau Chi Wan Market, 11 Clear Water Bay Road, Ngau Chi Wan, Kowloon",839566,821716,WONG TAI SIN,黃大仙
青衣體育館,Tsing Yi Sports Centre,新界青衣青綠街38號青衣市政大廈2樓,"2/F, Tsing Yi Municipal Services Building, 38 Tsing Luk Street, Tsing Yi, New Territories",829015,823888,KWAI TSING,葵青
鯉魚門公共圖書館,Lei Yue Mun Public Library,九龍觀塘鯉魚門徑6號鯉魚門市政大廈1樓,"1/F, Lei Yue Mun Municipal Services Building, 6 Lei Yue Mun Path, Kwun Tong, Kowloon",842637,817018,KWUN TONG,觀塘
大興社區會堂,Tai Hing Community Hall,新界屯門大興?,"Tai Hing Estate, Tuen Mun, New Territories",814984.5,829239.2,TUEN MUN,屯門
廣源社區會堂,Kwong Yuen Community Hall,新界沙田小瀝源路68號廣源?,"Kwong Yuen Estate, No. 68 Siu Lek Yuen Road, Sha Tin, New Territories",840145.5,826839.3,SHA TIN,沙田
粉嶺母嬰健康院,Fanling Maternal and Child Health Centre,粉嶺璧峰路2號粉嶺健康中心3樓及5樓,"3/F & 5/F, Fanling Health Centre, 2 Pik Fung Road, Fanling, New Territories",832350.9,839661.5,NORTH,北區
翠林社區會堂,Tsui Lam Community Hall,新界將軍澳翠林?,"Tsui Lam Estate, Tseung Kwan O, New Territories",843614.7,820598,SAI KUNG,西貢
元朗胸肺科診所,Yuen Long Chest Clinic,新界元朗青山道269號元朗賽馬會健康院地下,"G/F, Yuen Long Jockey Club Health Centre, 269 Castle Peak Road, Yuen Long, New Territories",820430.6,834028.9,YUEN LONG,元朗
南昌社區中心,Nam Cheong District Community Centre,九龍深水?昌新里1號地下、1樓及4樓,"G/F, 1/F & 4/F, 1 Cheong San Lane, Sham Shui Po, Kowloon",834259,820910,SHAM SHUI PO,深水?
赤柱正灘水上活動中心,Stanley Main Beach Water Sports Centre,香港赤柱赤柱連合道,"Stanley Link Road, Stanley, Hong Kong",840110,809073,SOUTHERN,南區
石塘咀體育館,Shek Tong Tsui Sports Centre,香港皇后大道西470號石塘咀市政大廈5樓,"5/F, Shek Tong Tsui Municipal Services Building, 470 Queen's Road West, Hong Kong",832061,816315,CENTRAL AND WESTERN,中西區
彩雲社區中心,Choi Wan Estate Community Centre,九龍牛池灣彩雲?彩鳳徑38號,"38 Choi Fung Path, Choi Wan Estate, Ngau Chi Wan, Kowloon",840079.5,821778.8,WONG TAI SIN,黃大仙
粉嶺南公共圖書館,Fanling South Public Library,新界粉嶺一鳴路23號牽晴間購物廣場地下G15及G16舖位,"Shop 15-16, G/F, Dawning Views Shopping Plaza, Fanling, New Territories",832856.7,838599.3,NORTH,北區
葵盛社區會堂,Kwai Shing Community Hall,新界葵涌葵盛西?第 6 座平台,"Podium, Block 6, Kwai Shing West Estate, Kwai Chung, New Territories",830571.6,824683.7,KWAI TSING,葵青
粉嶺公共圖書館,Fanling Public Library,新界粉嶺和滿街9號2樓,"2/F, 9 Wo Mun Street, Fanling, New Territories",832962.5,840059.1,NORTH,北區
民眾安全服務隊總部,Civil Aid Service Headquarters,九龍油麻地渡華路8號,"8 To Wah Road, Yau Ma Tei, Kowloon",834800.1,818919.8,YAU TSIM MONG,油尖旺
西營盤胸肺科診所,Sai Ying Pun Chest Clinic,香港西營盤皇后大道西134號西營盤賽馬會分科診療所2字樓,"2/F, Sai Ying Pun Jockey Club Polyclinic, 134 Queen's Road West, Sai Ying Pun, Hong Kong",832994.2,816385,CENTRAL AND WESTERN,中西區
石湖墟街市熟食中心,Shek Wu Hui Market Cooked Food Centre,新界上水智昌路13號石湖墟市政大廈2樓,"2/F, Shek Wu Hui Municipal Services Building, 13 Chi Cheong Road, Sheung Shui, New Territories",831522,840283,NORTH,北區
